,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Former_M vs Healthy_Former_M
refmet_name,ratio,ratio,ratio,ratio
MG 16:0/0:0/0:0,1.339386079,0.612345679,0.990718321,1.080414013
MG 18:0/0:0/0:0,2.184615385,1.253731343,1.21417958,0.945652174
"1,5-Anhydrosorbitol",1.275258088,0.789850358,1.083666926,0.983844566
Aminoadipic acid,1.114035088,1.490421456,0.894308943,0.85212766
2-Deoxyerythritol,0.615949886,1.602409639,1.296004729,1.273171988
"3,4-Dihydroxybutyric acid",0.87595532,1.023302938,1.321716258,1.003074558
2-Hydroxybutyric acid,0.940316555,0.773909513,0.92177364,1.035397651
2-Hydroxyglutaric acid,1.032624113,0.750636132,1.097727634,1.302694611
Salicyluric acid,0.25606175,1.361945637,12.22350814,2.348360656
2-Hydroxyvaleric acid,5.095103782,9.208654199,0.36721071,1.084964029
Ketoleucine,1.184376795,0.921750774,0.905131104,0.939760303
Ketoleucine,1.06038048,0.930011862,0.941144997,0.983009709
MG 18:0/0:0/0:0,0.828131502,0.737537538,1.330569167,1.024601064
MG 18:0/0:0/0:0,0.751515152,0.950050968,1.111297633,1.052013423
MG 18:0/0:0/0:0,0.791466667,1.055555556,0.837243582,1.065329884
3-Amino-isobutanoic acid,1.142761841,0.567115903,0.89359724,1.020224337
3-Hydroxybutyric acid,0.42426824,0.38640267,0.778217514,0.860364275
3-Phosphoglyceric acid,0.687886826,0.680922432,0.999583507,2.147217235
p-Hydroxyphenylacetic acid,1.031339031,0.907029478,2.119151591,0.975619835
cis-4-Hydroxyproline,0.758239781,0.481034074,1.350995218,1.067052465
3-Phosphoglyceric acid,0.960546419,1.054402951,0.742497144,0.769003533
cis-4-Hydroxyproline,0.488941548,1.186629526,1.511467484,0.898651541
cis-4-Hydroxyproline,1.618968386,0.637075718,1.415514909,1.349056604
5-Methoxytryptamine,0.653243848,0.89821883,0.967674661,1.823873874
5-Methoxytryptamine,1.376692757,0.629107981,0.912766061,0.983075519
5-Methoxytryptamine,0.793317422,0.548174746,1.610939035,3.029907025
5-Methoxytryptamine,1.595570602,4.347352025,0.975326483,0.850410297
cis-Aconitic acid,1.043376319,1.193245779,1.012155274,0.838387319
AMP,0.814081408,1.914035088,0.780526109,2.175206801
Adipic acid,0.512696316,0.955794504,1.106785952,1.570588235
Alanine,1.108033132,1.158823304,0.825598628,0.888342646
Allantoic acid,0.773626374,0.952898551,0.981639051,1.218320611
Oxoglutaric acid,1.260757868,0.945883344,1.215055386,1.336785418
