,siMCJkd vs Control
refmet_name,ratio
gamma-Glutamylglutamine,0.995923706
Allantoin,1.144686535
Uracil,1.024633862
Oxoglutaric acid,0.894676836
Uracil,0.968925954
"3',5' cyclic AMP",0.769613523
3-Methyleneoxindole,1.090445857
Phosphohydroxypyruvic acid,0.849596555
Pyroglutamic acid,0.887469701
Dihydrothymine,1.067888447
Dihydrothymine,1.075782907
5-Hydroxyindoleacetic acid,1.130689774
5-Hydroxyisouric acid,1.010825966
Pyroglutamic acid,1.040815972
6-Phosphogluconic acid,1.159272165
Acetylcholine,0.948686846
acyl-C10 (O-Decanoyl-L-carnitine),1.020368433
acyl-C12:1 (O-dodecenoyl-carnitine),0.867230961
acyl-C2 (acetyl-carnitine),0.941583407
acyl-C3 (propionyl-carnitine),0.979330459
acyl-C4-OH (Hydroxybutyrylcarnitine),1.045134704
acyl-C4 (butanoyl-l-carnitine),1.038970902
acyl-C5 (isovalerylcarnitine),1.12449013
acyl-C5:1 (Tiglylcarnitine),0.907371054
acyl-C6 (hexanoyl-l-carnitine),1.053655979
acyl-C8 (L-octanoylcarnitine,1.025683285
acyl-C8:1 (octenoyl-l-carnitine),1.035111896
Adenine,0.876236072
Adenosine,0.915342122
Aspartyl adenylate,1.230560503
ADP,1.098044822
Ribose 1-phosphate,0.931811548
AMP,0.961476832
2-Aminobenzoic acid,1.107393069
Argininosuccinic acid,1.098417491
Vitamin C,1.326482623
ATP,0.781303108
Carnosine,0.888995005
Cytidine 5'-diphosphocholine,1.58822667
Cholesterol sulfate,1.926296076
Choline,1.160369668
Choline,0.979045619
Citric acid,0.857880867
CMP,1.005798063
Citric acid,1.097977281
Creatine,1.109468185
Creatinine,1.097169556
Cys-Gly,0.915466625
Cystathionine,1.035120655
Cytidine,0.979351999
Cytosine,0.964141502
Arabitol,1.429519117
"Fructose 1,6-bisphosphate",1.004010683
Glucose,1.75380506
Dehydroascorbic acid,0.889765168
Dimethylglycine,1.120238467
Dimethylglycine,0.949686754
dTMP,1.064342516
Phosphoethanolamine,1.410880757
Fumaric acid,1.163354523
GMP,1.31370798
gamma-L-Glutamyl-D-alanine,1.015584106
gamma-Glutamylcysteine,0.921314386
GDP,1.053937814
Glutathione,0.956997394
Oxidized glutathione,1.123369038
sn-Glycero-3-phosphate,1.147002879
Glycine,1.033866327
Glycochenodeoxycholic acid,0.973129892
GMP,1.000430118
GTP,0.557089531
Guanosine,1.007381334
Guanosine,2.137020973
Hypoxanthine,1.129612359
Indole,1.219481946
Indoleacetic acid,1.153801593
Inosine,1.082326892
Alanine,1.138028608
Arginine,0.832987035
Asparagine,1.080960252
Aspartic acid,1.338553465
Carnitine,1.010296994
Citrulline,1.568496099
Cysteine,1.089141859
Glutamic acid,1.167503913
Glutamine,1.195024178
Histidine,0.978870724
Leucine,1.04603018
Lysine,0.974670598
Methionine,1.077388003
Methionine,1.106785806
Phenylalanine,1.071472562
Proline,1.149426019
Serine,1.103066459
Threonine,1.05263598
Tryptophan,1.216447472
Tyrosine,0.993516173
Valine,1.016304417
Lactic acid,1.046842375
Malic acid,1.223411146
Mannitol,0.597581168
N-Acetylornithine,1.002060653
N-Methylethanolamine phosphate,1.126696041
NAD+,1.043648468
Niacinamide,1.079987492
Ornithine,0.997874942
Oxalosuccinic acid,2.81008491
Pantothenol,1.006071264
Pantothenol,1.842180626
Putrescine,1.156920626
Pyridoxal,1.709767512
Pyridoxamine 5'-phosphate,1.179978503
Pyruvic acid,0.945104979
Quinolinic acid,1.123195426
Quinolinic acid,1.035604805
S-Adenosylmethionine,0.989262846
S-Glutathionyl-cysteine,2.443663258
3-Phosphoshikimic acid,1.173402341
sn-Glycero-3-phosphoethanolamine,0.987924738
Spermidine,0.836096769
Spermine,0.57642614
Sphingosine,0.486412227
Succinic acid,1.099299498
Taurine,1.111411385
Succinic acid,0.836142398
Thymine,1.154008828
trans-4-Hydroxyproline,1.18750232
UDP,1.24188747
UDP-glucose,0.858938988
UDP-N-acetylglucosamine,0.950036196
UMP,1.042096497
Uracil,1.01541807
Xanthine,1.076931005
