,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Former_M vs Healthy_Former_M
refmet_name,ratio,ratio,ratio,ratio
MG 16:0/0:0/0:0,1.344006148,0.605954466,1.192612137,0.950498753
MG 18:0/0:0/0:0,1.536659878,0.548717949,1.276502732,0.795514019
"1,5-Anhydrosorbitol",0.979562867,0.864304184,0.957233545,0.950500325
Aminoadipic acid,0.689461883,0.961187215,1.181544634,0.598076923
2-Deoxyerythritol,0.594109589,2.1125,1.360404896,1.177684692
"3,4-Dihydroxybutyric acid",1.055913113,0.960183767,1.05000804,1.023076923
2-Hydroxybutyric acid,0.925587923,0.944186695,0.968875377,1.019616494
2-Hydroxyglutaric acid,1.079157175,1.080050826,1.406542672,1.275533777
Salicyluric acid,0.17709854,2.040322581,7.165618449,2.193981481
2-Hydroxyvaleric acid,1.287174721,0.93328279,1.097735399,0.981180812
Ketoleucine,1.003750815,1.039632395,0.851223191,0.759388975
Ketoleucine,1.403547672,1.046357616,1.366641433,1.156842105
MG 18:0/0:0/0:0,0.835825748,0.816037736,1.161587119,0.709090909
MG 18:0/0:0/0:0,1.245535714,1.208955224,0.990498812,1.123640662
MG 18:0/0:0/0:0,1.036396181,1.567961165,0.584047805,1.230245232
3-Amino-isobutanoic acid,1.337916064,0.826295585,0.93010101,1.069554075
3-Hydroxybutyric acid,0.32476266,0.666045098,0.716325472,0.858388304
3-Phosphoglyceric acid,0.42295082,1.735714286,1.186396677,3.200235294
p-Hydroxyphenylacetic acid,1.071979434,1.394409938,2.28397874,0.803846154
cis-4-Hydroxyproline,0.978245326,0.788205513,1.048874355,0.793150353
3-Phosphoglyceric acid,1.247537364,1.416235781,0.997425845,0.890115163
cis-4-Hydroxyproline,0.48828125,1.440268456,1.544610992,0.618513324
cis-4-Hydroxyproline,0.997076023,0.779969651,1.333592334,1.056612378
5-Methoxytryptamine,0.885542169,1.010204082,1.006729912,1.001613771
5-Methoxytryptamine,1.266122736,0.692073574,1.069386146,0.751452069
5-Methoxytryptamine,0.745289367,0.596045198,1.673402007,2.114184731
5-Methoxytryptamine,0.794874134,0.955357143,1.322885845,0.736865067
cis-Aconitic acid,1.102272727,0.884353741,1.441843181,1.073113208
AMP,2.34496124,6.47804878,3.438534799,1.006352941
Adipic acid,0.923454221,1.337953092,0.904653285,0.965869312
Alanine,1.170193813,1.156510368,0.894428705,0.842107856
Allantoic acid,1.666107383,0.876923077,1.16464891,1.195228216
Oxoglutaric acid,1.369747899,1.310344828,0.909476662,1.339538347
Aminomalonic acid,1.421594311,1.067474048,0.848039603,1.275284662
Arabinose,0.624158467,0.850053937,1.322288803,1.089720395
Arabitol,0.865384615,1.465437788,1.361052632,1.075102459
Arachidic acid,0.799659091,1.057558791,0.985018727,1.277528292
Arachidonic acid,1.010510126,1.16107056,1.101546846,1.304051431
Asparagine,1.208980912,1.198181412,1.093948558,0.874670649
Aspartic acid,1.122238857,1.182911258,1.41752631,1.220568823
Azelaic acid,0.466590983,1.132967033,1.947353682,2.692713568
Behenic acid,0.854971042,0.874654378,1.040904286,0.913665835
Benzoic acid,1.188844086,1.053155539,1.07825832,0.88828125
Benzyl alcohol,0.285562659,1.718159659,1.448635669,1.209665428
beta-Alanine,0.960259015,0.333812433,0.758013678,1.108616047
Sitosterol,1.490523466,0.736227045,1.139142462,1.24140625
"2,3-Butanediol",0.331251904,12.82038085,0.908175228,1.273468708
Capric acid,1.122968013,1.175937579,1.244196977,0.818303228
Caprylic acid,1.080754352,0.897554059,1.147648736,0.872401188
Cellobiotol,0.774261603,0.902272727,1.507206589,1.652704403
Cholesterol,1.25128458,1.346077418,0.974224133,1.145392241
Citric acid,1.180569377,1.341178026,0.835647141,0.798426931
Citrulline,1.193181818,0.915650052,1.344293159,0.652259449
Conduritol epoxide,0.680904216,1.851351351,0.743903683,1.729575597
Creatinine,1.072454428,0.673061328,1.576359775,0.764406834
Creatinine,1.301918736,1.316326531,1.166666667,0.605521472
Cysteine,1.326991209,2.387686062,0.944872301,1.043877163
Cys-Gly,1.241908007,1.511988717,0.922362008,0.811726384
Cystine,0.823820225,0.837282298,0.954900974,0.851274139
CDP,0.720845481,1.094763092,1.536791759,1.544725738
CDP,0.672895277,0.679956604,0.661618106,0.997461667
CDP,1.160895863,1.023178017,1.096929482,0.887774011
3-(3-Hydroxyphenyl)propanoic acid,0.569116573,2.740572172,1.125655506,0.658851512
Dodecanol,1.106904232,1.035682426,1.135552034,0.933724176
Erythritol,0.549441964,1.139375802,8.320320996,1.095456373
Ethanolamine,0.665832141,0.659387831,1.134767025,1.260617724
Fructose,2.732603328,1.237041136,0.867598209,0.784781038
Fucose,0.84168533,1.84217016,1.108683198,0.878084416
Fucose,1.16205049,0.84338653,1.055335436,1.091789258
Fumaric acid,1.169755025,0.98,1.121587218,0.952892157
Galactonic acid,1.471938776,1.164122137,1.201201201,1.119044006
Galactose 6-phosphate,1.096534653,1.56937799,1.176190476,1.77003367
gamma-Glutamylvaline,0.957013575,1.158301158,0.918530793,1.377223427
gamma-Tocopherol,0.466846652,1.464052288,1.971641791,0.617776038
Gluconic acid,0.911383285,0.826704545,1.342028986,1.162209302
Glucose,0.803492583,1.002697125,0.87097472,1.470463754
Glucuronic acid,0.468729747,1.292841649,2.457929922,1.30754717
Glutamic acid,1.097497611,0.940643191,1.189497934,1.123784526
Glutamine,0.912638577,0.955412031,1.010516496,0.781017269
Glutaric acid,0.988861386,0.886538462,1.573953488,0.926254376
