,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Former_M vs Healthy_Former_M
refmet_name,ratio,ratio,ratio,ratio
MG 18:1(9Z)/0:0/0:0,2.232303091,1.994504333,1.034805821,1.093181308
MG 16:0/0:0/0:0,0.799751244,0.803436426,0.77976081,1.015719468
MG 18:0/0:0/0:0,1.222940226,0.815802469,0.64135255,0.916530278
"1,5-Anhydrosorbitol",1.084352686,0.701293157,0.970799039,0.640424081
2-Deoxyerythritol,0.986336193,0.461914354,0.819105691,0.899386445
2-Deoxyerythritol,1.038142248,1.009856631,0.873092445,1.395827529
2-Hydroxybutyric acid,0.984944123,2.177762175,0.888767861,1.524922856
2-Hydroxyglutaric acid,1.143822756,0.727775951,0.955254286,1.067827443
Salicyluric acid,0.476145038,0.984267453,0.632879201,0.893058161
2-Hydroxyvaleric acid,12.2811068,1.065477799,1.169392781,1.421758961
Ketoleucine,1.130524079,1.420102679,0.932058757,0.989551492
MG 18:0/0:0/0:0,0.946632783,0.990338164,0.862698413,1.612097304
MG 18:0/0:0/0:0,1.348432056,1.24039653,1.20497076,0.901397414
3-Amino-isobutanoic acid,0.893849206,1.20309338,0.999631421,5.25183845
3-Hydroxybutyric acid,0.865317328,2.09299663,0.914757101,1.891376802
3-Phosphoglyceric acid,1.377394636,0.884150327,0.879047619,0.477165566
cis-4-Hydroxyproline,1.151988636,0.89037037,0.989865154,0.862243879
cis-4-Hydroxyproline,0.422692534,0.45715538,0.975654978,0.848507543
5-Methoxytryptamine,1.816546763,1.727124183,1.686201299,1.024761313
5-Methoxytryptamine,0.955856795,0.905956516,1.081084861,0.958641777
cis-Aconitic acid,1.253485425,0.696814562,0.764705882,1.160260687
AMP,0.927191679,2.007490637,2.972445905,1.160330882
Adipic acid,0.845031272,0.610634751,0.972109276,1.131442308
Alanine,0.940201518,1.132613565,1.014696295,0.72290323
